Name,Symbol,AtomicNumber
Hydrogen,H,1
Lithium,Li,3
Boron,B,5
Carbon,C,6
Nitrogen,N,7
Oxygen,O,8
Fluorine,F,9
Sodium,Na,11
Magnesium,Mg,12
Aluminium,Al,13
Silicon,Si,14
Phosphorus,P,15
Sulfur,S,16
Chlorine,Cl,17
Argon,Ar,18
Potassium,K,19
Calcium,Ca,20
Scandium,Sc,21
Titanium,Ti,22
Vanadium,V,23
Chromium,Cr,24
Manganese,Mn,25
Iron,Fe,26
Cobalt,Co,27
Nickel,Ni,28
Copper,Cu,29
Zinc,Zn,30
Gallium,Ga,31
Germanium,Ge,32
Arsenic,As,33
Selenium,Se,34
Bromine,Br,35
Yttrium,Y,39
Zirconium,Zr,40
Niobium,Nb,41
Molybdenum,Mo,42
Ruthenium,Ru,44
Rhodium,Rh,45
Palladium,Pd,46
Silver,Ag,47
Cadmium,Cd,48
Indium,In,49
Tin,Sn,50
Antimony,Sb,51
Tellurium,Te,52
Iodine,I,53
Caesium,Cs,55
Barium,Ba,56
Lanthanum,La,57
Cerium,Ce,58
Neodymium,Nd,60
Samarium,Sm,62
Europium,Eu,63
Dysprosium,Dy,66
Ytterbium,Yb,70
Hafnium,Hf,72
Tantalum,Ta,73
Tungsten,W,74
Rhenium,Re,75
Osmium,Os,76
Iridium,Ir,77
Platinum,Pt,78
Gold,Au,79
Mercury,Hg,80
Thallium,Tl,81
Lead,Pb,82
Bismuth,Bi,83
